epochs,NF 1,NF 2,NF 3,NF 4,NF 5
10,0.575538,0.606191,0.641406,0.689708,0.678711
20,0.589233,0.705037,0.706167,0.727795,0.709315
30,0.591868,0.723193,0.725483,0.733951,0.731602
40,0.601902,0.739109,0.733774,0.735611,0.731934
50,0.621179,0.74902,0.744895,0.746414,0.750318
60,0.633866,0.750495,0.755417,0.755711,0.748038
70,0.636599,0.756724,0.761437,0.759573,0.759316
80,0.650573,0.765007,0.768809,0.768505,0.765965
90,0.653128,0.765765,0.767827,0.769283,0.764412
100,0.658203,0.768095,0.768281,0.771829,0.76977
110,0.663776,0.766868,0.774482,0.770452,0.777634
120,0.6651,0.774738,0.775599,0.779562,0.779629
130,0.672203,0.776333,0.782686,0.783571,0.782236
140,0.669311,0.777791,0.775085,0.782848,0.788147
150,0.66675,0.778834,0.780555,0.78328,0.78874
160,0.673403,0.778203,0.78366,0.790624,0.787012
170,0.6785,0.777988,0.783498,0.78316,0.784659
180,0.671889,0.776882,0.778648,0.785396,0.782617
190,0.671551,0.780486,0.784201,0.790707,0.787433
200,0.673432,0.784966,0.787989,0.795204,0.786443
210,0.676838,0.785185,0.788555,0.790492,0.790641
220,0.672088,0.780745,0.786155,0.793954,0.789674
230,0.675582,0.788273,0.788601,0.796317,0.791477
240,0.673597,0.782029,0.784044,0.796263,0.793803
250,0.67267,0.783483,0.787022,0.791605,0.79498
260,0.678249,0.792006,0.784875,0.787675,0.794297
270,0.676841,0.785804,0.792127,0.795084,0.786202
280,0.6803,0.787503,0.788254,0.792672,0.796659
290,0.679975,0.781438,0.789312,0.795845,0.793177
300,0.687625,0.784077,0.785342,0.798186,0.792892
310,0.680624,0.791188,0.781903,0.79886,0.795995
320,0.668361,0.785392,0.788769,0.791094,0.788203
330,0.681555,0.786795,0.787437,0.793114,0.796251
340,0.672313,0.785454,0.784804,0.797723,0.791079
350,0.555327,0.785001,0.784472,0.79649,0.790264
360,0.608016,0.789215,0.779131,0.799846,0.794432
370,0.642908,0.779739,0.778423,0.800278,0.789283
380,0.65586,0.787442,0.783455,0.792919,0.789833
390,0.663286,0.788635,0.775897,0.801323,0.791596
400,0.669759,0.789108,0.770054,0.791209,0.786019
